                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.43528,                0.76763,                0.42586,                  1.008,                0.95391,                0.91996,                 0.9374,                0.84374,                0.94624,                0.91273,                0.93648,                0.81244,                0.46287,                0.75028,                0.48726,                 1.1059,              0.0012278,              0.0012278,              0.0012278
                     41,                0.42139,                0.73135,                0.42559,                 1.0018,                0.95461,                0.93333,                0.95814,                0.85707,                0.95461,                0.93333,                0.95814,                0.82324,                0.46117,                0.76212,                 0.4209,                 1.1234,               0.001208,               0.001208,               0.001208
                     42,                0.43074,                0.72911,                0.41442,                 1.0015,                0.99123,                0.91852,                0.95134,                0.85628,                0.99123,                0.91852,                0.94924,                 0.8389,                0.46954,                0.73822,                0.42897,                 1.1205,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42954,                0.70287,                0.41433,                 1.0034,                0.94037,                0.93448,                0.95833,                0.86769,                0.94037,                0.93448,                0.95586,                0.85014,                0.44688,                 0.7172,                0.42979,                 1.0666,              0.0011684,              0.0011684,              0.0011684
                     44,                0.41628,                0.71047,                0.40479,                0.99675,                  0.968,                0.89628,                0.94292,                0.85411,                  0.968,                0.89628,                0.94292,                 0.8337,                0.45582,                0.75327,                0.45009,                 1.0976,              0.0011486,              0.0011486,              0.0011486
                     45,                0.40255,                0.67835,                0.38651,                0.99476,                0.95406,                0.92294,                0.95836,                0.87473,                0.95406,                0.92294,                0.95836,                 0.8473,                0.40711,                0.72093,                0.40325,                 1.0497,              0.0011288,              0.0011288,              0.0011288
                     46,                0.40073,                0.71289,                0.38535,                0.98362,                0.96107,                0.93333,                0.95394,                0.84546,                0.96107,                0.93333,                0.95394,                0.83178,                0.46832,                0.67882,                0.42459,                 1.1109,               0.001109,               0.001109,               0.001109
                     47,                0.40542,                0.69746,                0.39733,                0.99284,                0.97435,                0.91852,                0.96231,                0.86697,                0.96754,                0.91111,                0.96015,                0.84727,                0.44863,                 0.6844,                0.40594,                 1.0846,              0.0010892,              0.0010892,              0.0010892
                     48,                0.39851,                0.68177,                0.37463,                0.98691,                0.96918,                0.93184,                0.95557,                0.86771,                0.96918,                0.93184,                0.95557,                0.85228,                0.41099,                0.65445,                0.40828,                   1.04,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.3927,                  0.663,                0.37421,                0.97838,                0.98898,                0.91111,                0.95761,                0.87195,                0.98898,                0.91111,                0.95874,                0.85639,                0.42896,                0.70963,                0.42412,                 1.0854,              0.0010496,              0.0010496,              0.0010496
                     50,                0.39441,                0.66265,                0.37674,                 0.9829,                0.94865,                0.92593,                0.94557,                0.85205,                0.94865,                0.92593,                0.94557,                0.82325,                0.41452,                0.64969,                0.42219,                 1.0401,              0.0010298,              0.0010298,              0.0010298
                     51,                  0.397,                0.64519,                0.37344,                0.98885,                 0.9257,                0.94815,                0.95617,                0.86907,                 0.9333,                0.93287,                0.95563,                0.84123,                0.42961,                0.70785,                0.42976,                 1.0658,                0.00101,                0.00101,                0.00101
                     52,                0.38199,                0.66372,                0.36161,                0.97608,                0.95262,                 0.8963,                0.94271,                0.87364,                0.95262,                 0.8963,                0.94936,                0.84574,                0.38352,                0.64086,                0.42001,                 1.0144,              0.0009902,              0.0009902,              0.0009902
                     53,                0.38098,                0.65233,                0.37195,                 0.9786,                0.92906,                0.97037,                0.96464,                0.88688,                0.92906,                0.97037,                0.96464,                0.86024,                0.39889,                0.62434,                0.39293,                 1.0473,              0.0009704,              0.0009704,              0.0009704
                     54,                0.37919,                0.63463,                0.35721,                0.97976,                   0.96,                 0.9037,                0.95972,                0.88354,                   0.96,                 0.9037,                0.95972,                0.85575,                0.39911,                0.64046,                0.38847,                 1.0398,              0.0009506,              0.0009506,              0.0009506
                     55,                0.37353,                0.62795,                0.35213,                0.97459,                  0.931,                0.91111,                0.95026,                0.85809,                  0.931,                0.91111,                0.95026,                0.83808,                0.44723,                0.67178,                0.46113,                 1.0804,              0.0009308,              0.0009308,              0.0009308
                     56,                0.36791,                0.63219,                0.35699,                0.96591,                0.94773,                0.91111,                0.96109,                0.88249,                0.94773,                0.91111,                0.96504,                0.85571,                0.40453,                0.69871,                0.39622,                 1.0347,               0.000911,               0.000911,               0.000911
                     57,                0.36822,                0.61963,                0.34994,                0.96613,                0.95462,                0.93493,                0.96401,                0.88481,                0.95462,                0.93493,                0.96401,                 0.8594,                0.39284,                0.67844,                0.38667,                 1.0372,              0.0008912,              0.0008912,              0.0008912
                     58,                0.35549,                0.60418,                0.33434,                0.95529,                0.95666,                0.88889,                0.93828,                 0.8497,                0.95666,                0.88889,                 0.9378,                0.83402,                0.42832,                0.73805,                0.44962,                 1.0578,              0.0008714,              0.0008714,              0.0008714
                     59,                0.36192,                0.61474,                0.33707,                0.96662,                0.97886,                 0.8963,                0.95402,                0.83884,                0.97886,                 0.8963,                0.95095,                0.82537,                0.44434,                 0.7764,                 0.4081,                 1.0983,              0.0008516,              0.0008516,              0.0008516
                     60,                0.36043,                0.60564,                0.34442,                0.96541,                0.95433,                0.92879,                0.95557,                0.85334,                0.97613,                0.90862,                0.95569,                0.84211,                0.43347,                0.68657,                 0.4185,                 1.0873,              0.0008318,              0.0008318,              0.0008318
                     61,                0.36371,                0.60164,                0.33964,                0.96847,                0.98087,                0.91111,                0.94615,                0.85973,                0.98087,                0.91111,                0.94612,                0.85188,                0.41086,                0.71307,                0.44247,                 1.0301,               0.000812,               0.000812,               0.000812
                     62,                0.35001,                0.58517,                0.32446,                0.95926,                0.98386,                0.90286,                0.95908,                0.88074,                0.98386,                0.90286,                0.95908,                0.86441,                0.38837,                0.66826,                0.36235,                 1.0232,              0.0007922,              0.0007922,              0.0007922
                     63,                0.34956,                 0.5833,                0.33187,                0.95663,                0.96425,                 0.8963,                0.93831,                0.85129,                0.96425,                 0.8963,                0.93831,                0.83844,                0.43034,                0.70987,                0.44415,                 1.0714,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3484,                0.59229,                0.32795,                0.95089,                0.97536,                 0.9037,                0.95294,                0.86535,                0.97536,                 0.9037,                0.94617,                0.84338,                0.40953,                0.72887,                0.42452,                  1.046,              0.0007526,              0.0007526,              0.0007526
                     65,                0.35285,                0.59681,                0.32145,                 0.9616,                0.98384,                0.90214,                0.93632,                0.83952,                0.98384,                0.90214,                0.93615,                0.83062,                0.44926,                0.69415,                0.47241,                 1.1217,              0.0007328,              0.0007328,              0.0007328
                     66,                0.33375,                0.56619,                0.31064,                0.94564,                 0.9485,                 0.9037,                0.95321,                0.87366,                0.94254,                 0.8963,                0.94279,                 0.8581,                0.39878,                0.73226,                 0.3974,                 1.0219,               0.000713,               0.000713,               0.000713
                     67,                0.34475,                0.58607,                0.32072,                0.95352,                0.93668,                0.92593,                0.94905,                0.87663,                0.93668,                0.92593,                0.94905,                0.85533,                0.41208,                0.78511,                0.40375,                 1.0636,              0.0006932,              0.0006932,              0.0006932
                     68,                0.33564,                0.56616,                0.31521,                0.95011,                  0.951,                0.92593,                0.95672,                0.85996,                  0.951,                0.92593,                0.95653,                0.85148,                0.39245,                0.69058,                0.39709,                 1.0625,              0.0006734,              0.0006734,              0.0006734
                     69,                0.33738,                0.56249,                0.31241,                 0.9487,                0.94486,                0.93333,                0.94681,                 0.8516,                0.94486,                0.93333,                0.94681,                 0.8457,                0.38825,                0.65089,                0.37861,                 1.0459,              0.0006536,              0.0006536,              0.0006536
                     70,                0.33108,                0.54731,                0.30617,                0.94553,                0.94683,                0.94815,                0.95506,                0.85841,                0.93943,                0.94074,                 0.9539,                0.85205,                0.40502,                0.66161,                0.42695,                 1.0409,              0.0006338,              0.0006338,              0.0006338
                     71,                0.33247,                 0.5552,                0.30256,                0.95289,                0.91359,                0.93978,                0.94762,                0.84094,                0.91349,                0.93861,                0.94762,                0.84233,                0.43455,                0.74408,                0.45072,                 1.0891,               0.000614,               0.000614,               0.000614
